Date/Time,LIVING ZONE:Zone Air Temperature [C](TimeStep:REPORTSCH),LIVING ZONE:Zone Air System Sensible Heating Energy [J](TimeStep:REPORTSCH),LIVING ZONE:Zone Air System Sensible Cooling Energy [J](TimeStep:REPORTSCH),LIVING ZONE:Zone Thermostat Heating Setpoint Temperature [C](TimeStep:REPORTSCH),LIVING ZONE:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep:REPORTSCH),GARAGE ZONE:Zone Air Temperature [C](TimeStep:REPORTSCH),GARAGE ZONE:Zone Air System Sensible Heating Energy [J](TimeStep:REPORTSCH),GARAGE ZONE:Zone Air System Sensible Cooling Energy [J](TimeStep:REPORTSCH),GARAGE ZONE:Zone Thermostat Heating Setpoint Temperature [C](TimeStep:REPORTSCH),GARAGE ZONE:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep:REPORTSCH),ATTIC ZONE:Zone Air Temperature [C](TimeStep:REPORTSCH),ATTIC ZONE:Zone Air System Sensible Heating Energy [J](TimeStep:REPORTSCH),ATTIC ZONE:Zone Air System Sensible Cooling Energy [J](TimeStep:REPORTSCH),ATTIC ZONE:Zone Thermostat Heating Setpoint Temperature [C](TimeStep:REPORTSCH),ATTIC ZONE:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep:REPORTSCH),ACDXCOIL 1:Cooling Coil Total Cooling Energy [J](TimeStep:REPORTSCH),HEAT PUMP DX HEATING COIL 1:Heating Coil Heating Energy [J](TimeStep:REPORTSCH),SUPP HEATING COIL 1:Heating Coil Heating Energy [J](TimeStep:REPORTSCH),TWOSPEED HEAT PUMP 1:Unitary System DX Coil Cycling Ratio [](TimeStep:REPORTSCH),TWOSPEED HEAT PUMP 1:Unitary System DX Coil Speed Ratio [](TimeStep:REPORTSCH),TWOSPEED HEAT PUMP 1:Unitary System DX Coil Speed Level [](TimeStep:REPORTSCH) 
 01/21  11:20:00,7.727277059846758,33594051.390339464,0.0,19.480169677691066,28.57848820028915,4.118511622725243,0.0,0.0,0.0,0.0,12.388903280395343,0.0,0.0,0.0,0.0,0.0,7572016.881221028,25834425.52576836,1.0,1.0,2.0 
 01/21  11:30:00,7.992727822559008,33454334.456303865,0.0,19.480169677691066,28.57848820028915,4.387627202712341,0.0,0.0,0.0,0.0,12.904287616778408,0.0,0.0,0.0,0.0,0.0,7609409.155487607,25657624.762142323,1.0,1.0,2.0 
 01/21  11:40:00,8.258002986260216,33314714.270522118,0.0,19.480169677691066,28.57848820028915,4.646436508775988,0.0,0.0,0.0,0.0,13.395809187991343,0.0,0.0,0.0,0.0,0.0,7646583.592010486,25480782.735955816,1.0,1.0,2.0 
 01/21  11:50:00,8.523222231839618,33175123.87201999,0.0,19.480169677691066,28.57848820028915,4.900859592379862,0.0,0.0,0.0,0.0,13.837643165752743,0.0,0.0,0.0,0.0,0.0,7683540.190789654,25304220.696384616,1.0,1.0,2.0 
 01/21  12:00:00,8.788423107131102,33035542.589063346,0.0,19.480169677691066,28.57848820028915,5.149803645990142,0.0,0.0,0.0,0.0,14.205458152475657,0.0,0.0,0.0,0.0,0.0,7720278.951825123,25127896.19894,1.0,1.0,2.0 
 01/21  12:10:00,8.971088194851996,32937111.84015856,0.0,19.480169677691066,28.57848820028915,5.382187010647153,0.0,0.0,0.0,0.0,14.49672283571654,0.0,0.0,0.0,0.0,0.0,7745410.487127082,25027939.48191284,1.0,1.0,2.0 
 01/21  12:20:00,9.153056360087788,32842896.135865096,0.0,19.480169677691066,28.57848820028915,5.600967675271189,0.0,0.0,0.0,0.0,14.725963302391383,0.0,0.0,0.0,0.0,0.0,7770439.060057996,24911785.232203502,1.0,1.0,2.0 
 01/21  12:30:00,9.335957021662026,32748338.27094084,0.0,19.480169677691066,28.57848820028915,5.805861987992288,0.0,0.0,0.0,0.0,14.909122515120373,0.0,0.0,0.0,0.0,0.0,7795364.670617863,24792817.64075666,1.0,1.0,2.0 
 01/21  12:40:00,9.518612263070915,32653940.88949698,0.0,19.480169677691066,28.57848820028915,6.000889555744859,0.0,0.0,0.0,0.0,15.057993352734766,0.0,0.0,0.0,0.0,0.0,7820187.318806681,24673477.82670047,1.0,1.0,2.0 
 01/21  12:50:00,9.701180194360479,32559624.25965287,0.0,19.480169677691066,28.57848820028915,6.18979981715036,0.0,0.0,0.0,0.0,15.177293256817256,0.0,0.0,0.0,0.0,0.0,7844907.00462445,24554407.245858073,1.0,1.0,2.0 
