Date/Time,LIVING ZONE:Zone Air Temperature [C](TimeStep:REPORTSCH),LIVING ZONE:Zone Air System Sensible Heating Energy [J](TimeStep:REPORTSCH),LIVING ZONE:Zone Air System Sensible Cooling Energy [J](TimeStep:REPORTSCH),LIVING ZONE:Zone Thermostat Heating Setpoint Temperature [C](TimeStep:REPORTSCH),LIVING ZONE:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep:REPORTSCH),GARAGE ZONE:Zone Air Temperature [C](TimeStep:REPORTSCH),GARAGE ZONE:Zone Air System Sensible Heating Energy [J](TimeStep:REPORTSCH),GARAGE ZONE:Zone Air System Sensible Cooling Energy [J](TimeStep:REPORTSCH),GARAGE ZONE:Zone Thermostat Heating Setpoint Temperature [C](TimeStep:REPORTSCH),GARAGE ZONE:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep:REPORTSCH),ATTIC ZONE:Zone Air Temperature [C](TimeStep:REPORTSCH),ATTIC ZONE:Zone Air System Sensible Heating Energy [J](TimeStep:REPORTSCH),ATTIC ZONE:Zone Air System Sensible Cooling Energy [J](TimeStep:REPORTSCH),ATTIC ZONE:Zone Thermostat Heating Setpoint Temperature [C](TimeStep:REPORTSCH),ATTIC ZONE:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep:REPORTSCH),ACDXCOIL 1:Cooling Coil Total Cooling Energy [J](TimeStep:REPORTSCH),HEAT PUMP DX HEATING COIL 1:Heating Coil Heating Energy [J](TimeStep:REPORTSCH),SUPP HEATING COIL 1:Heating Coil Heating Energy [J](TimeStep:REPORTSCH),TWOSPEED HEAT PUMP 1:Unitary System DX Coil Cycling Ratio [](TimeStep:REPORTSCH),TWOSPEED HEAT PUMP 1:Unitary System DX Coil Speed Ratio [](TimeStep:REPORTSCH),TWOSPEED HEAT PUMP 1:Unitary System DX Coil Speed Level [](TimeStep:REPORTSCH) 
 01/21  04:50:00,22.706022812820393,5946737.998741741,0.0,22.74333333333335,32.26000000000002,-0.4133022799148238,0.0,0.0,0.0,0.0,-0.9688759651620209,0.0,0.0,0.0,0.0,0.0,3410339.939015504,2482530.6039982494,0.7389468432044725,0.6666666666666672,1.6666666666666679 
 01/21  05:00:00,22.944321098960437,7187481.186084942,0.0,23.41,32.26,-0.41477528988901546,0.0,0.0,0.0,0.0,-0.9553764152127496,0.0,0.0,0.0,0.0,0.0,4729345.669302078,2998829.566180329,1.0,1.0,2.0 
 01/21  05:10:00,23.365710052024994,8282011.150305527,0.0,23.41,32.26,-0.4163365571725096,0.0,0.0,0.0,0.0,-0.9444880772722923,0.0,0.0,0.0,0.0,0.0,4730360.354277025,3414867.7197802337,1.0,1.0,2.0 
 01/21  05:20:00,22.290914301159667,6126851.0202719625,0.0,22.076666666666664,32.26,-0.4180244955317129,0.0,0.0,0.0,0.0,-0.9370671591724048,0.0,0.0,0.0,0.0,0.0,2605973.8425968895,3430112.5206681346,0.5704084062028776,0.5,1.1666666666666665 
 01/21  05:30:00,22.706879793471842,5999331.993504189,0.0,22.743333333333325,32.259999999999984,-0.4198877689398237,0.0,0.0,0.0,0.0,-0.9306011914715301,0.0,0.0,0.0,0.0,0.0,3416099.6790115223,2525235.80951982,0.743475228576653,0.6666666666666664,1.666666666666666 
 01/21  05:40:00,22.94531006389491,7219230.384495492,0.0,23.409999999999993,32.259999999999984,-0.4222850827518201,0.0,0.0,0.0,0.0,-0.92438358657001,0.0,0.0,0.0,0.0,0.0,4728600.648645321,3030269.922505045,0.9999999999999997,0.9999999999999997,1.9999999999999993 
 01/21  05:50:00,23.365802970458596,8313899.076086592,0.0,23.41,32.26,-0.4247199446804528,0.0,0.0,0.0,0.0,-0.9203335188863027,0.0,0.0,0.0,0.0,0.0,4729603.498610343,3447261.948851566,1.0,1.0,2.0 
 01/21  06:00:00,22.289040080729755,6158183.768269587,0.0,22.076666666666636,32.259999999999955,-0.42708562987250454,0.0,0.0,0.0,0.0,-0.9182602128389696,0.0,0.0,0.0,0.0,0.0,2611830.6520867767,3456198.653278165,0.57224184576484,0.49999999999999933,1.166666666666665 
 01/21  06:10:00,22.709383300319892,6141688.919912028,0.0,22.743333333333332,32.26,-0.43248639975828973,0.0,0.0,0.0,0.0,-0.9235581347453887,0.0,0.0,0.0,0.0,0.0,3476559.3830484976,2595453.464483629,0.7549816843068,0.6666666666666666,1.6666666666666665 
 01/21  06:20:00,22.94818555194398,7400447.234630576,0.0,23.41,32.26,-0.4432621158263987,0.0,0.0,0.0,0.0,-0.9459429644902816,0.0,0.0,0.0,0.0,0.0,4787183.584789175,3150242.1742332224,1.0,1.0,2.0 
