Date/Time,Electricity:Facility [J](Monthly),Electricity:Building [J](Monthly),InteriorLights:Electricity [J](Monthly),Electricity:HVAC [J](Monthly),NaturalGas:Facility [J](Monthly),NaturalGas:HVAC [J](Monthly),Electricity:Facility [J](RunPeriod),Electricity:Building [J](RunPeriod),InteriorLights:Electricity [J](RunPeriod),Electricity:HVAC [J](RunPeriod),NaturalGas:Facility [J](RunPeriod),NaturalGas:HVAC [J](RunPeriod) ,Simulation_ID
October,3348409584.3990555,1796309286.343717,1062970175.4855752,1552100298.0553384,1747279991.3356612,1747279991.3356612,,,,,,,5
November,5845611275.906261,1757456213.3068442,978563638.359836,4088155062.599437,7665997430.175588,7665997430.175588,,,,,,,5
December,7362426441.933145,1852602106.042801,1023133445.346784,5509824335.890362,9424887659.354477,9424887659.354477,59189633182.94479,20712107991.428417,12124959615.814589,38477525191.51914,60374812233.446815,60374812233.446815,5
July,112825628.301992,67839875.25194828,44569806.98696758,44985753.05004378,0.0,0.0,112825628.301992,67839875.25194828,44569806.98696758,44985753.05004378,0.0,0.0,5
January,8642250695.171022,1899673800.919601,964049375.7593396,6742576894.251442,15703857363.673904,15703857363.673904,,,,,,,6
February,7134174125.547463,1675385442.7841775,842783053.5395321,5458788682.763283,12606907276.581411,12606907276.581411,,,,,,,6
March,7052046099.576038,1766670934.163009,891790387.2979745,5285375165.413022,9169551702.44095,9169551702.44095,,,,,,,6
April,4164146642.149364,1708351773.552168,923627268.3527342,2455794868.5971894,3612003447.078531,3612003447.078531,,,,,,,6
May,2971002668.602258,1701511943.2383723,964049375.7593396,1269490725.3638663,808680795.5272155,808680795.5272155,,,,,,,6
June,2804176486.870487,1446908329.166658,851368279.8913693,1357268157.7038062,32111299.23543265,32111299.23543265,,,,,,,6
July,3633911657.0942273,1564228021.4202158,964049375.7593396,2069683635.6739712,0.0,0.0,,,,,,,6
August,3166268087.0563803,1540726931.1435924,927919881.52867,1625541155.912775,6201871.5318395365,6201871.5318395365,,,,,,,6
September,2525298904.480667,1524164959.170709,887497774.1220518,1001133945.309951,50143645.417634904,50143645.417634904,,,,,,,6
October,3294722449.547734,1739133745.7916763,964049375.7593396,1555588703.7560475,1827479262.106078,1827479262.106078,,,,,,,6
November,5870015368.3864975,1703889252.221776,887497774.1220559,4166126116.164714,7700568340.874845,7700568340.874845,,,,,,,6
December,7371516942.629241,1796600659.9658666,927919881.5286572,5574916282.663359,9580859260.014952,9580859260.014952,58629530127.11135,20067245793.538403,10996601803.42628,38562284333.57347,61098364264.48255,61098364264.48255,6
July,111153556.2620533,65705198.47075866,40422107.40660817,45448357.79129464,0.0,0.0,111153556.2620533,65705198.47075866,40422107.40660817,45448357.79129464,0.0,0.0,6
January,8743939838.233168,1873131545.9611917,947714135.0835928,6870808292.271988,15997869821.62448,15997869821.62448,,,,,,,7
February,7195030834.747418,1652282263.9135394,828502598.2400692,5542748570.833872,12891074655.665112,12891074655.665112,,,,,,,7
March,7153322367.709397,1742539254.7147417,876679532.0086803,5410783112.994653,9336383131.982494,9336383131.982494,,,,,,,7
April,4219626243.728191,1675658400.1510975,907976956.135748,2543967843.57709,3792529404.574712,3792529404.574712,,,,,,,7
May,3165074368.3707714,1656057356.5052075,947714135.0835975,1509017011.8655863,852700115.2080231,852700115.2080231,,,,,,,7
June,3022816409.171331,1398612484.5008583,836942353.0608366,1624203924.670479,35516768.1264783,35516768.1264783,,,,,,,7
July,3883803109.741577,1501709561.473457,947714135.0835928,2382093548.26814,0.0,0.0,,,,,,,7
August,3427484442.7999754,1476621520.2963994,912196833.5461444,1950862922.5035844,11285440.777868882,11285440.777868882,,,,,,,7
September,2729958736.9156156,1476294177.716132,872459654.5982904,1253664559.199486,58948921.674450785,58948921.674450785,,,,,,,7
October,3397982037.4627104,1705201976.1785352,947714135.0835928,1692780061.284172,1915087405.0424435,1915087405.0424435,,,,,,,7
November,5918346968.380425,1679451595.6666236,872459654.5982971,4238895372.713834,7984488633.234412,7984488633.234412,,,,,,,7
December,7432956487.103133,1771166214.4841335,912196833.5461352,5661790272.618974,9840209570.176796,9840209570.176796,60290341844.36388,19608726351.56134,10810270956.07133,40681615492.80192,62716093868.08691,62716093868.08691,7
July,115655450.9892592,63171239.20454018,39737178.947849855,52484211.78471908,0.0,0.0,115655450.9892592,63171239.20454018,39737178.947849855,52484211.78471908,0.0,0.0,7
January,9219922045.000128,1856892696.0103743,930717955.8905132,7363029348.989746,16814692848.942446,16814692848.942446,,,,,,,8
February,7639907805.656844,1638343289.7391052,813644342.8861002,6001564515.917765,13630146514.399164,13630146514.399164,,,,,,,8
March,7637589467.078449,1728131029.5341544,860957277.9350842,5909458437.544289,10136013674.87779,10136013674.87779,,,,,,,8
April,4534202231.056678,1658615391.965438,891693418.222377,2875586839.091261,4201523808.40769,4201523808.40769,,,,,,,8
May,3295349613.021009,1634922816.834308,930717955.8905176,1660426796.186689,1059495048.7690716,1059495048.7690716,,,,,,,8
June,3039451738.7566385,1378148950.7435515,821932740.2669475,1661302788.0130754,63694707.76434736,63694707.76434736,,,,,,,8
July,3835762021.235311,1476833988.272668,930717955.8905132,2358928032.962601,3265809.169597258,3265809.169597258,,,,,,,8
August,3392598994.5673523,1454019758.3135602,895837616.9128054,1938579236.2537813,19091813.620990727,19091813.620990727,,,,,,,8
September,2777823084.1894355,1455357892.5589552,856813079.2446623,1322465191.6304722,84194572.7358219,84194572.7358219,,,,,,,8
October,3605887074.440992,1685786646.2564566,930717955.8905132,1920100428.1845384,2293302174.2537894,2293302174.2537894,,,,,,,8
