Date/Time,Electricity:Facility [J](Monthly),Electricity:Building [J](Monthly),InteriorLights:Electricity [J](Monthly),Electricity:HVAC [J](Monthly),NaturalGas:Facility [J](Monthly),NaturalGas:HVAC [J](Monthly),Electricity:Facility [J](RunPeriod),Electricity:Building [J](RunPeriod),InteriorLights:Electricity [J](RunPeriod),Electricity:HVAC [J](RunPeriod),NaturalGas:Facility [J](RunPeriod),NaturalGas:HVAC [J](RunPeriod) ,Simulation_ID
February,7534610148.546424,1742235249.083425,886327199.4310583,5792374899.463004,12549202991.73892,12549202991.73892,,,,,,,34
March,7552425549.853683,1950750288.7569048,1013858999.3491952,5601675261.09676,9251739011.426804,9251739011.426804,,,,,,,34
April,4406575137.523245,1675151974.416155,895355999.4252611,2731423163.107085,3880068552.8646297,3880068552.8646297,,,,,,,34
May,3090193150.5473604,1783755113.3601089,1013858999.3491952,1306438037.1872313,910044950.3577952,910044950.3577952,,,,,,,34
June,2958328809.022881,1635584108.0379794,971348399.3764828,1322744700.9848764,45805649.98229381,45805649.98229381,,,,,,,34
July,3396044460.0105186,1549438074.8854964,937866599.3979734,1846606385.1250172,1326306.844702871,1326306.844702871,,,,,,,34
August,3165792873.122092,1687862527.9441648,1013858999.3491952,1477930345.1779249,12745183.80815199,12745183.80815199,,,,,,,34
September,2579639785.3228726,1602490709.2108247,933352199.4008704,977149076.1120552,71376209.86123714,71376209.86123714,,,,,,,34
October,3546816209.896964,1759294196.5475664,975862799.3735842,1787522013.3493962,2094315974.699782,2094315974.699782,,,,,,,34
November,6308241910.183964,1829796427.206967,971348399.3764828,4478445482.977016,7828539338.273564,7828539338.273564,,,,,,,34
December,7751011752.277512,1813231555.8378024,937866599.3979694,5937780196.439711,9816573446.128307,9816573446.128307,61350231706.10931,20948807482.30213,11526767992.596544,40401424223.80724,61926627645.78291,61926627645.78291,34
January,8185851351.448176,1848378979.0373397,911566818.2981774,6337472372.410839,11902980315.350328,11902980315.350328,,,,,,,41
February,6676703563.429073,1677886971.3270147,827930387.01253,4998816592.102079,9800590645.200983,9800590645.200983,,,,,,,41
March,6482199643.75487,1878844520.4796877,947059589.5580528,4603355123.275178,7210761628.419905,7210761628.419905,,,,,,,41
April,3982756702.8092303,1595781241.4602566,836364312.8564607,2386975461.3489747,2663647603.108098,2663647603.108098,,,,,,,41
May,3158539936.678763,1689958111.617572,947059589.5580528,1468581825.0612328,521973163.4255248,521973163.4255248,,,,,,,41
June,3340204737.4614725,1537805309.281464,907349855.3762114,1802399428.180061,22717722.168241646,22717722.168241646,,,,,,,41
July,3946614848.212205,1426323169.5265198,876074047.0383016,2520291678.6857367,0.0,0.0,,,,,,,41
August,3678442838.6678047,1565106908.5707643,947059589.5580528,2113335930.0970848,2338098.637149954,2338098.637149954,,,,,,,41
September,2868917143.825816,1507975830.2352035,871857084.1163377,1360941313.5906231,25780060.702550724,25780060.702550724,,,,,,,41
